testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test96786,2019-01-18 17:54:30,5,2,1,2,3,31,1,0.841197,33.400914,31.0,1,-0.40466002264207446,28.727926685478497,True,0,4.836214445467184
Test23667,2019-01-18 18:25:25,5,2,1,2,3,31,1,15.864222,17.811294,31.0,1,17.640232868843746,20.05922362714844,True,0,2.8648564038818503
Test30680,2019-01-24 02:07:07,5,2,1,2,3,31,1,15.6973,18.69581,31.0,1,17.199327191717725,15.842635220136037,True,0,3.224390176314153
Test5444,2019-01-24 02:09:21,5,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.563086569677419,16.94656023678568,True,0,11.101938008072352
Test11881,2019-01-24 02:11:14,5,2,1,2,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,17.19932718825052,15.842635234662994,True,0,20.141034840848413
Test12599,2019-01-24 02:13:35,5,2,1,2,3,31,1,28.717257,9.90592,31.0,1,20.018040984263045,9.544449092549486,True,0,8.706722718990621
Test57257,2019-01-24 02:15:23,5,2,1,2,3,31,1,27.548797999999998,34.119584,31.0,1,22.90010755141509,36.81863879100671,True,0,5.375427392461071
Test13177,2019-01-24 02:17:15,5,2,1,2,3,31,1,28.550332,53.800096999999994,31.0,1,19.46842162593271,52.20397148389071,True,0,9.221101490915617
Test52481,2019-01-24 02:18:42,5,2,1,2,3,31,1,24.210347,54.795178,31.0,1,23.80643330314823,55.38753105269257,True,0,0.7169577487820841
Test68842,2019-01-24 02:19:49,5,2,1,2,3,31,1,18.534983,49.156381,31.0,1,18.856252813357003,51.82894093299833,True,0,2.6918006776955936
Test21017,2019-01-24 02:20:49,5,2,1,2,3,31,1,18.368059,56.287802,31.0,1,6.771219582593725,51.415109036222006,True,0,12.578943564240975
Test53151,2019-01-24 02:21:57,5,2,1,2,3,31,1,17.867292000000003,43.020041,31.0,1,6.771219582593725,51.415109036222006,True,0,13.914021360667837
Test66766,2019-01-24 02:23:24,5,2,1,2,3,31,1,10.355779,62.313577,31.0,1,16.289480453820886,55.42145508099129,True,0,9.094512493232195
Test70090,2019-01-24 02:24:55,5,2,1,2,3,31,1,9.0204,43.572864,31.0,1,6.771219564816025,51.41510903359378,True,0,8.158407920479377
Test73394,2019-01-24 02:27:09,5,2,1,2,3,31,1,13.193462,30.636796999999998,31.0,1,-0.40466002264207446,28.727926685478497,True,0,13.731449611032508
Test35814,2019-01-24 02:28:49,5,2,1,2,3,31,1,13.360384,38.708017,31.0,1,-0.40466004909567455,28.7279267173877,True,0,17.002312775697213
Test86088,2019-01-24 02:30:10,5,2,1,2,3,31,1,4.34657,33.732607,31.0,1,16.91567708237968,22.563222652365873,True,0,16.814802988839965
Test15800,2019-01-24 02:32:05,5,2,1,2,3,31,1,7.017328999999999,22.344445999999998,31.0,1,9.63495690242265,19.053864207904454,True,0,4.2047478361980675
Test88279,2019-01-24 02:33:45,5,2,1,2,3,31,1,13.69423,19.690895,31.0,1,9.242424324863403,34.21114021189892,True,0,15.187366288558788
Test62496,2019-02-13 22:40:56,5,2,1,2,3,31,1,15.196532999999999,16.373955,31.0,1,21.238603943316665,20.550082911215117,True,0,7.344839386596653
Test50153,2019-02-13 22:42:18,5,2,1,2,3,31,1,15.196532999999999,16.373955,31.0,1,21.238604010214114,20.550083012313745,True,0,7.344839499111018
Test34588,2019-02-13 22:44:12,5,2,1,2,3,31,1,22.874968,15.931693,31.0,1,17.199327213299465,15.842635255246046,True,0,5.676339456160044
Test70194,2019-02-13 22:44:25,5,2,1,2,3,31,1,22.874968,15.931693,31.0,1,21.650491415232462,16.637547609462658,True,0,1.4133554529359034
Test25075,2019-02-13 22:46:29,5,2,1,2,3,31,1,17.533447,24.500456,31.0,1,9.6349569676075,19.053864225210486,True,0,9.594347646036619
Test20212,2019-02-13 22:46:49,5,2,1,2,3,31,1,17.533447,24.500456,31.0,1,9.634956966904475,19.053864223659364,True,0,9.594347647495935
Test58570,2019-02-13 22:48:53,5,2,1,2,3,31,1,27.048032,27.319857,31.0,1,19.45476889638143,28.81429757699768,True,0,7.738927393311831
Test62785,2019-02-13 22:49:11,5,2,1,2,3,31,1,27.048032,27.319857,31.0,1,19.45476889638143,28.81429757699768,True,0,7.738927393311831
Test34974,2019-02-13 22:51:47,5,2,1,2,3,31,1,28.550332,39.592535,31.0,1,23.383113049783535,35.04468227356756,True,0,6.883539503830505
Test90517,2019-02-13 22:52:01,5,2,1,2,3,31,1,28.550332,39.592535,31.0,1,23.383113049783535,35.04468227356756,True,0,6.883539503830505
Test20190,2019-02-13 22:54:08,5,2,1,2,3,31,1,28.383409999999998,50.151462,31.0,1,23.347378965327213,42.04057182796185,True,0,9.547153919627176
Test29812,2019-02-13 22:54:20,5,2,1,2,3,31,1,28.383409999999998,50.151462,31.0,1,21.422970395430013,48.808163252676785,True,0,7.088876569205199
Test12108,2019-02-13 22:54:33,5,2,1,2,3,31,1,28.383409999999998,50.151462,31.0,1,25.483515878502274,39.30097000469538,True,0,11.23132060160633
Test91521,2019-02-13 22:56:09,5,2,1,2,3,31,1,28.216488000000002,58.775507999999995,31.0,1,23.80643332848492,55.38753106030356,True,0,5.561202203630688
Test96296,2019-02-13 22:56:21,5,2,1,2,3,31,1,28.216488000000002,58.775507999999995,31.0,1,23.80643330314823,55.38753105269257,True,0,5.561202228359521
Test72097,2019-02-13 22:58:04,5,2,1,2,3,31,1,22.708046,61.926601,31.0,1,19.71346534266368,58.5055877345101,True,0,4.546520106185682
Test3018,2019-02-13 22:58:14,5,2,1,2,3,31,1,22.708046,61.926601,31.0,1,19.713465339277978,58.5055877331536,True,0,4.546520109436384
Test67448,2019-02-13 22:59:20,5,2,1,2,3,31,1,16.364991,63.253377,31.0,1,19.71346534266368,58.5055877345101,True,0,5.809800627644472
Test31255,2019-02-13 22:59:29,5,2,1,2,3,31,1,16.364991,63.253377,31.0,1,14.490355026136605,50.750595261012755,True,0,12.64253974671449
Test83926,2019-02-13 23:01:22,5,2,1,2,3,31,1,9.187322,59.107201,31.0,1,14.930328190432796,48.771347148653156,True,0,11.824212233368906
Test54993,2019-02-13 23:01:44,5,2,1,2,3,31,1,9.187322,59.107201,31.0,1,16.289480453820886,55.42145508099129,True,0,8.001585947964871
Test51847,2019-02-13 23:03:04,5,2,1,2,3,31,1,9.0204,48.658838,31.0,1,3.330715387394655,42.75474839798957,True,0,8.199438091691755
Test46098,2019-02-13 23:03:14,5,2,1,2,3,31,1,9.0204,48.658838,31.0,1,5.044024931931518,43.04176465182808,True,0,6.8820833822833
Test47038,2019-02-13 23:05:18,5,2,1,2,3,31,1,10.522703,36.552008,31.0,1,-0.40466004909567455,28.7279267173877,True,0,13.43962466453828
Test83075,2019-02-13 23:05:32,5,2,1,2,3,31,1,10.522703,36.552008,31.0,1,17.609913921172307,20.81750494573419,True,0,17.256973807880808
Test64675,2019-02-13 23:07:00,5,2,1,2,3,31,1,9.354245,27.596269,31.0,1,-0.40466002264207446,28.727926685478497,True,0,9.824300298649836
Test10551,2019-02-13 23:07:14,5,2,1,2,3,31,1,9.354245,27.596269,31.0,1,-0.40466004909567455,28.7279267173877,True,0,9.824300328602959
Test88477,2019-02-20 22:55:02,5,2,1,2,3,31,1,14.862687,18.142986999999998,31.0,1,18.75695428379422,17.748484664824506,True,0,3.9141984837369863
Test1254,2019-02-20 23:11:58,5,2,1,2,3,31,1,14.862687,18.142986999999998,31.0,1,9.6349569676075,19.053864225210486,True,0,5.306492119186236
Test56499,2019-03-08 14:37:54,5,2,1,2,3,31,2,9.900766,31.049160999999998,31.0,2,15.322264407232458,38.67745174516733,True,0,9.358603777937693
Test92454,2019-03-08 14:38:06,5,2,1,2,3,31,2,9.900766,31.049160999999998,31.0,2,16.266848966850315,27.388798944651526,True,0,7.343382239612519
Test5658,2019-03-08 14:38:21,5,2,1,2,3,31,2,9.900766,31.049160999999998,31.0,2,17.98161452522684,30.462626991973668,True,0,8.10210682663665
Test75013,2019-03-08 14:42:17,5,2,1,2,3,31,2,9.579535,17.638101000000002,31.0,2,6.3746242080901725,20.26612260826905,True,0,4.144629145970615
Test27776,2019-03-08 14:42:32,5,2,1,2,3,31,2,9.579535,17.638101000000002,31.0,2,3.513428900594337,19.93760943475788,True,0,6.487324737576285
