testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test96786,2019-01-18 17:54:30,5,2,1,4,3,31,1,0.841197,33.400914,31.0,1,7.748619329158052,29.76404401593584,True,0,7.806363206662759
Test23667,2019-01-18 18:25:25,5,2,1,4,3,31,1,15.864222,17.811294,31.0,1,10.012205769793557,25.253261836062777,True,0,9.467258274262539
Test30680,2019-01-24 02:07:07,5,2,1,4,3,31,1,15.6973,18.69581,31.0,1,9.41993926657278,16.931998224149805,True,0,6.520451652930322
Test5444,2019-01-24 02:09:21,5,2,1,4,3,31,1,12.859617,8.579143,31.0,1,9.777258480507708,9.425453544561655,True,0,3.1964316949565745
Test11881,2019-01-24 02:11:14,5,2,1,4,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,11.783746774615093,9.124563807398605,True,0,11.521379633247953
Test12599,2019-01-24 02:13:35,5,2,1,4,3,31,1,28.717257,9.90592,31.0,1,19.878063495761857,8.298819948738604,True,0,8.98410331530811
Test57257,2019-01-24 02:15:23,5,2,1,4,3,31,1,27.548797999999998,34.119584,31.0,1,29.399381893525778,35.656679153687925,True,0,2.4056854030541754
Test13177,2019-01-24 02:17:15,5,2,1,4,3,31,1,28.550332,53.800096999999994,31.0,1,29.351484995420172,47.98069141743533,True,0,5.874293783635227
Test52481,2019-01-24 02:18:42,5,2,1,4,3,31,1,24.210347,54.795178,31.0,1,28.677541913682827,54.14719399671887,True,0,4.513946573159896
Test68842,2019-01-24 02:19:49,5,2,1,4,3,31,1,18.534983,49.156381,31.0,1,19.496835707765484,51.813036608139335,True,0,2.8254167217764454
Test21017,2019-01-24 02:20:49,5,2,1,4,3,31,1,18.368059,56.287802,31.0,1,8.870105545869015,51.0098701730588,True,0,10.865895461795938
Test53151,2019-01-24 02:21:57,5,2,1,4,3,31,1,17.867292000000003,43.020041,31.0,1,8.870105545869015,51.0098701730588,True,0,12.032735944292122
Test66766,2019-01-24 02:23:24,5,2,1,4,3,31,1,10.355779,62.313577,31.0,1,9.649665162677717,58.971122527119306,True,0,3.4162257909187113
Test70090,2019-01-24 02:24:55,5,2,1,4,3,31,1,9.0204,43.572864,31.0,1,8.877317674642093,49.39936270643171,True,0,5.828255290211658
Test73394,2019-01-24 02:27:09,5,2,1,4,3,31,1,13.193462,30.636796999999998,31.0,1,7.748619329158052,29.76404401593584,True,0,5.514345789068199
Test35814,2019-01-24 02:28:49,5,2,1,4,3,31,1,13.360384,38.708017,31.0,1,1.7600863275473717,28.963272141661168,True,0,15.150147142639602
Test86088,2019-01-24 02:30:10,5,2,1,4,3,31,1,4.34657,33.732607,31.0,1,9.52456838481756,33.208473170867336,True,0,5.204458045177666
Test15800,2019-01-24 02:32:05,5,2,1,4,3,31,1,7.017328999999999,22.344445999999998,31.0,1,9.045845814149553,21.329315905506128,True,0,2.2683407094249723
Test88279,2019-01-24 02:33:45,5,2,1,4,3,31,1,13.69423,19.690895,31.0,1,8.889228611543597,31.899003534265923,True,0,13.119678057310873
Test62496,2019-02-13 22:40:56,5,2,1,4,3,31,1,15.196532999999999,16.373955,31.0,1,22.16625026434768,21.32125096911343,True,0,8.547086997974931
Test50153,2019-02-13 22:42:18,5,2,1,4,3,31,1,15.196532999999999,16.373955,31.0,1,10.295570257418914,25.62899969500504,True,0,10.472597008894635
Test34588,2019-02-13 22:44:12,5,2,1,4,3,31,1,22.874968,15.931693,31.0,1,19.841597816938474,8.344398749742654,True,0,8.171191388498674
Test70194,2019-02-13 22:44:25,5,2,1,4,3,31,1,22.874968,15.931693,31.0,1,19.889670419272537,8.35230554777894,True,0,8.146110470425949
Test25075,2019-02-13 22:46:29,5,2,1,4,3,31,1,17.533447,24.500456,31.0,1,9.362529699707606,16.97635836604734,True,0,11.107472022628261
Test20212,2019-02-13 22:46:49,5,2,1,4,3,31,1,17.533447,24.500456,31.0,1,9.307138251763769,19.781507042123593,True,0,9.483703648277436
Test58570,2019-02-13 22:48:53,5,2,1,4,3,31,1,27.048032,27.319857,31.0,1,28.360922280980315,30.602490920340347,True,0,3.535444292427985
Test62785,2019-02-13 22:49:11,5,2,1,4,3,31,1,27.048032,27.319857,31.0,1,28.360922280980315,30.602490920340347,True,0,3.535444292427985
