testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",10,3,"AM",1,3.594801226538799,56.88285995825111,1,9.33326146716412,61.495707618262095,7.362627891432952,0
"Test16545",10,3,"AM",1,4.308557968378728,49.750827094942125,1,5.738376457314948,42.449471043651286,7.440039052251352,0
"Test70565",5,3,"AM",1,4.308557968378728,49.51309274392676,1,10.920236840368835,37.48896998954254,13.722019731760366,0
"Test50294",5,3,"AM",1,7.877342455798169,41.19239045838931,1,9.037043083452543,34.683122264164375,6.611768142496402,0
"Test40075",10,3,"AM",1,7.639423541851525,40.716921756358595,1,7.3651530971489,39.890527044415734,0.8707195281860283,0
"Test79839",5,3,"AM",1,5.260234013275198,37.3886377316792,1,8.440857483136956,32.3822585241771,5.931289777640678,0
"Test84117",5,3,"AM",1,5.260234013275198,31.445280511527507,1,9.352004770029161,30.96416531864449,4.119958707881641,0
"Test8205",10,3,"AM",1,5.260234013275198,31.68301330731065,1,9.352004792679217,30.964165306635014,4.154435046941995,0
"Test70869",10,3,"AM",1,1.6914495258557574,62.58848554904381,1,8.702070708243069,65.2458375186308,7.497354790404779,0
"Test79992",10,3,"AM",1,1.2156115034075219,66.39223574850158,1,3.712017317638232,64.64922553558304,3.0446882585353805,0
"Test37993",5,3,"AM",1,9.304855939478026,59.497938597036125,1,13.127674481353212,61.908095334849335,4.5191588935255576,0
"Test34350",5,3,"AM",1,0.26393565306600075,11.951057507339483,1,4.312307972033643,14.231883329266749,4.646663842258619,0
"Test66732",5,3,"AM",1,6.687747886064955,9.335978090938358,1,5.661475180935872,13.581189884179032,4.36750029590871,0
"Test67062",5,3,"AM",1,6.449828972118311,15.517074327802032,1,13.997510289485398,11.99670363882715,8.32829532715583,0
"Test92679",5,3,"AM",1,14.06323499663068,9.573717107650348,1,11.314716627657699,11.063443342127808,3.1262817336689745,0
"Test85276",5,3,"AM",1,16.44242569253671,14.328404127957462,1,17.607534281426798,30.437366941612822,16.151042101227915,0
"Test44416",5,3,"AM",1,12.635721512950822,13.37746672389604,1,20.648825846546444,16.023406256990366,8.438651377671693,0
"Test96786",5,3,"SB",1,0.841197,33.400914,1,8.089916242165863,34.926939134263066,7.407609827882962,0
"Test23667",5,3,"SB",1,15.864222,17.811294,1,17.577880862106525,20.140643719573013,2.8917981969271485,0
"Test54312",5,3,"AM",1,3.441853,57.477196,1,10.920236840368835,37.48896998954254,21.341401170237578,0
"Test67455",5,3,"AM",1,3.936385,57.477196,1,16.043148462565153,64.49796795221623,13.99517632413142,0
"FAKE_TEST",5,3,"Building",1,1234.0,1234.0,1,21.843381134525455,16.468721593079707,1718.0529917783585,0
"FAKE_TEST_2",5,3,"SB",1,0.0,0.0,1,21.843381134525455,16.468721593079707,27.35602475321501,0
"FAKE_TEST_3",5,3,"SB",1,0.0,0.0,1,21.8433810829803,16.468721632375985,27.356024735713895,0
"Test37317",3,3,"SB",1,15.6973,18.69581,1,8.865208947892542,20.454136073770755,7.054727402670415,0
"Test30680",5,3,"SB",1,15.6973,18.69581,1,17.0162369154171,15.620176546766004,3.3465079897561965,0
"Test3673",10,3,"SB",1,15.6973,18.69581,1,17.577880823655487,20.140643788584377,2.3715245963168567,0
"Test97265",10,3,"SB",1,12.859617,8.579143,1,12.35908310763683,9.863983639410767,1.3788943563905447,0
"Test5444",5,3,"SB",1,12.859617,8.579143,1,17.016236833224713,15.620176479775871,8.176407579205048,0
"Test57831",3,3,"SB",1,12.859617,8.579143,1,12.35908310763683,9.863983639410767,1.3788943563905447,0
"Test48762",2,3,"SB",1,4.680414,8.579143,1,17.016236833224713,15.620176479775871,14.203826154808885,0
"Test62912",3,3,"SB",1,4.680414,8.579143,1,17.016236802887477,15.620176412249915,14.20382609498787,0
"Test43488",2,3,"SB",1,4.012724,0.618484,1,18.756476941914986,17.747773096078934,22.600681311617034,0
"Test82603",3,3,"SB",1,4.012724,0.618484,1,17.016236802887477,15.620176412249915,19.853012880835372,0
"Test11881",5,3,"SB",1,4.012724,0.618484,1,17.016236833224713,15.620176479775871,19.853012951731124,0
"Test50448",10,3,"SB",1,4.012724,0.618484,1,17.016236833224713,15.620176479775871,19.853012951731124,0
"Test56319",10,3,"SB",1,28.717257,9.90592,1,27.162041665009454,11.313507297457614,2.0976169188280744,0
"Test12599",5,3,"SB",1,28.717257,9.90592,1,21.843381155654917,16.46872157822057,9.503711573830785,0
"Test81912",3,3,"SB",1,28.717257,9.90592,1,27.162041676319305,11.313507276326705,2.0976168962630144,0
"Test62385",2,3,"SB",1,28.717257,9.90592,1,26.759029139678123,12.36171178795846,3.140950438759741,0
"Test94942",2,3,"SB",1,27.548798,34.119584,1,19.992734799995663,18.17677639138315,17.642766379676154,0
"Test12935",3,3,"SB",1,27.548798,34.119584,1,29.317200473822297,26.329932797613733,7.987860362090632,0
"Test57257",5,3,"SB",1,27.548798,34.119584,1,20.569332541396545,25.46025246956465,11.121913533283319,0
"Test8527",10,3,"SB",1,27.548798,34.119584,1,29.31720043845507,26.32993279730298,7.987860354563856,0
"Test13139",10,3,"SB",1,28.550332,53.800097,1,27.692791161709017,55.14576851816232,1.5956842181741613,0
"Test13177",5,3,"SB",1,28.550332,53.800097,1,19.827595881883322,52.41477943903247,8.832056959226556,0
"Test52854",3,3,"SB",1,28.550332,53.800097,1,27.714105583984356,37.763865253763825,16.058019904017907,0
"Test79360",2,3,"SB",1,28.550332,53.800097,1,29.51073215616405,40.5627620894455,13.272128841830344,0
"Test37077",2,3,"SB",1,24.210347,54.795178,1,27.71570864521138,55.13426091252381,3.5217236526003375,0
"Test13666",3,3,"SB",1,24.210347,54.795178,1,15.758357169344315,55.79443297389633,8.510854398963929,0
"Test52481",5,3,"SB",1,24.210347,54.795178,1,27.692791161709017,55.14576851816232,3.5000472926585657,0
"Test30022",10,3,"SB",1,24.210347,54.795178,1,27.692791173666425,55.14576851662943,3.500047304402289,0
"Test37479",10,3,"SB",1,18.534983,49.156381,1,20.229268205932758,45.46919323501239,4.057826508528544,0
