testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-69,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-70,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-71,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-70,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-73,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-82,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-83,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-89,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-100,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-86,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-95,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-91,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-85,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-92,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-90,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-88,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-86,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-89,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-91,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-92,10,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
